epoch, train_loss, test_loss, x_train.min, x_train.max, x_train.mean, x_train.var, x_test.min, x_test.max, x_test.mean, x_test.var, y_train.min, y_train.max, y_train.mean, y_train.var, y_test.min, y_test.max, y_test.mean, y_test.var, z_train.min, z_train.max, z_train.mean, z_train.var, z_test.min, z_test.max, z_test.mean, z_test.var, z_train[0].min, z_train[0].max, z_train[0].mean, z_train[0].var, z_train[1].min, z_train[1].max, z_train[1].mean, z_train[1].var, z_train[2].min, z_train[2].max, z_train[2].mean, z_train[2].var, z_train[3].min, z_train[3].max, z_train[3].mean, z_train[3].var, z_train[4].min, z_train[4].max, z_train[4].mean, z_train[4].var, z_train[5].min, z_train[5].max, z_train[5].mean, z_train[5].var, z_train[6].min, z_train[6].max, z_train[6].mean, z_train[6].var, z_train[7].min, z_train[7].max, z_train[7].mean, z_train[7].var, z_train[8].min, z_train[8].max, z_train[8].mean, z_train[8].var, z_train[9].min, z_train[9].max, z_train[9].mean, z_train[9].var
1, 0.00041672850464947704, 0.00042249945350127615, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.7512059211730957, 2.913801908493042, 0.00487284641712904, 0.0072945402935147285, -2.717622756958008, 2.8790292739868164, 0.004846715833991766, 0.007194898556917906, 0.0, 5.217977046966553, 0.6846681833267212, 1.631809949874878, 0.0, 5.15407133102417, 0.6793152689933777, 1.60910964012146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1923115253448486, 5.217977046966553, 4.15426778793335, 0.10046735405921936, 1.0287461280822754, 1.7114840745925903, 1.3566361665725708, 0.011542324908077717, 1.0312784910202026, 1.6867918968200684, 1.3357781171798706, 0.011088713072240353
2, 0.0002440729280706586, 0.0002532311333286599, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.6434316635131836, 2.6735918521881104, 0.004864806775003672, 0.006878900341689587, -2.5783276557922363, 2.608248472213745, 0.004838177002966404, 0.006780058611184359, 0.0, 4.74720573425293, 0.5971127152442932, 1.267344355583191, 0.0, 4.626197814941406, 0.5922107696533203, 1.2485589981079102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.778123378753662, 4.74720573425293, 3.6690211296081543, 0.10052426159381866, 0.8136042952537537, 1.4208022356033325, 1.0946850776672363, 0.009209892712533474, 0.9166695475578308, 1.566583514213562, 1.207420825958252, 0.011226298287510872
3, 0.00023913834309318989, 0.0002490542966274287, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.5711326599121094, 2.61076283454895, 0.004919715225696564, 0.006671733222901821, -2.5069384574890137, 2.5460338592529297, 0.00489302771165967, 0.006575657986104488, 0.0, 4.566865921020508, 0.5759685635566711, 1.1791589260101318, 0.0, 4.449041843414307, 0.5712549090385437, 1.1616034507751465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.650186538696289, 4.566865921020508, 3.5377914905548096, 0.09912167489528656, 0.7783793210983276, 1.371403694152832, 1.0571281909942627, 0.008823201060295105, 0.871800422668457, 1.5017699003219604, 1.1647658348083496, 0.010873446241021156
4, 0.00024101121125863942, 0.0002507552879813271, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.562072992324829, 2.623708963394165, 0.005144795868545771, 0.006688662339001894, -2.497666597366333, 2.5582470893859863, 0.005117179360240698, 0.006593545898795128, 0.0, 4.4775309562683105, 0.5654873847961426, 1.1366064548492432, 0.0, 4.357705116271973, 0.5608909726142883, 1.1198976039886475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5749993324279785, 4.4775309562683105, 3.47299861907959, 0.09833869338035583, 0.7690837979316711, 1.3499903678894043, 1.0438297986984253, 0.008534739725291729, 0.8426885604858398, 1.4582537412643433, 1.1380457878112793, 0.01050333771854639
5, 0.00024315738900019447, 0.0002533344599717425, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.578321933746338, 2.6181795597076416, 0.00489979051053524, 0.006684490945190191, -2.508701801300049, 2.5481109619140625, 0.00487488741055131, 0.006591008976101875, 0.0, 4.399085521697998, 0.5537213683128357, 1.0913499593734741, 0.0, 4.273311138153076, 0.5492933988571167, 1.0755815505981445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.506146192550659, 4.399085521697998, 3.403383255004883, 0.0980634018778801, 0.7593821883201599, 1.3203887939453125, 1.0234142541885376, 0.007894308306276798, 0.8130918145179749, 1.4147851467132568, 1.1104161739349365, 0.010197130031883717
6, 0.00024221631640575946, 0.00025096120491692025, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.58034086227417, 2.6222341060638428, 0.0048556337133049965, 0.006642723456025124, -2.5069420337677, 2.5484378337860107, 0.004831633064895868, 0.006550602149218321, 0.0, 4.299776077270508, 0.5399501323699951, 1.0360294580459595, 0.0, 4.166997909545898, 0.5356524586677551, 1.0212002992630005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4256656169891357, 4.299776077270508, 3.3148152828216553, 0.09616681933403015, 0.7367486357688904, 1.3078032732009888, 1.0118635892868042, 0.007196933962404728, 0.7794064283370972, 1.362297534942627, 1.0728226900100708, 0.009576331824064255
7, 0.00024108179656569126, 0.0002501167220203585, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.574296474456787, 2.6310412883758545, 0.0048930831253528595, 0.006671348121017218, -2.496373176574707, 2.552497148513794, 0.0048691947013139725, 0.006579006090760231, 0.0, 4.222323417663574, 0.5281062126159668, 0.9872876405715942, 0.0, 4.0792412757873535, 0.5238887667655945, 0.9732136130332947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.351073741912842, 4.222323417663574, 3.232867479324341, 0.09559536725282669, 0.7095499038696289, 1.2825528383255005, 0.9948762655258179, 0.006247144192457199, 0.7613827586174011, 1.3460785150527954, 1.053317904472351, 0.009305008687078953
8, 0.00023722777742233764, 0.00024674976991330525, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.594128131866455, 2.6407418251037598, 0.004670493770390749, 0.006726015824824572, -2.514846086502075, 2.561577558517456, 0.004648345522582531, 0.006632752250880003, 0.0, 4.166605472564697, 0.5165085792541504, 0.9472957849502563, 0.0, 4.015426158905029, 0.5123286247253418, 0.9338037371635437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.293623208999634, 4.166605472564697, 3.167726516723633, 0.09561638534069061, 0.6695448756217957, 1.2711988687515259, 0.9705445766448975, 0.005439526867121458, 0.7405295372009277, 1.3112547397613525, 1.0268149375915527, 0.008916972205042839
9, 0.00023384320069808604, 0.00024374481621841954, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.584423303604126, 2.638617753982544, 0.005106654483824968, 0.006694110110402107, -2.5002918243408203, 2.5532877445220947, 0.0050809853710234165, 0.006601614411920309, 0.0, 4.117195129394531, 0.5047039985656738, 0.896793007850647, 0.0, 3.9454119205474854, 0.5005382299423218, 0.8841012716293335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2181344032287598, 4.117195129394531, 3.0749685764312744, 0.0983954668045044, 0.6381670832633972, 1.3054064512252808, 0.9654285311698914, 0.006339015904814005, 0.7294694185256958, 1.302177906036377, 1.0066426992416382, 0.00964305829256773
10, 0.00022615225061895403, 0.0002370707968030337, -2.80045, 2.78271, 0.004942446257475577, 0.00692420832313059, -2.615, 2.59069, 0.00492179981229223, 0.006842062072195578, -2.615697145462036, 2.6650948524475098, 0.004974388983100653, 0.0067052096128463745, -2.5290799140930176, 2.5745768547058105, 0.004947257693856955, 0.006611469201743603, 0.0, 4.09189510345459, 0.49447834491729736, 0.8553471565246582, 0.0, 3.8964850902557373, 0.4901939928531647, 0.8431593179702759, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.156315326690674, 4.09189510345459, 2.9938066005706787, 0.10312226414680481, 0.5715075731277466, 1.335221767425537, 0.9358333349227905, 0.012245634570717812, 0.6884130835533142, 1.3664041757583618, 1.0151433944702148, 0.01401373278349638
